11189,11189,11189,1063,125,8,11189,11189,,69,1220,114,208,114,238,1005,159,2408,956,635,2271,86,816,362,82,46,119,827,204,53,24,173,69,11,14
36,可以回放 方便复习,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
37,I think there is no good features since it is hard to understand the course online.,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
38,The recording vedio can help me to review the content and konwledge,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
39,The recording video can help us to review lectures.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
40,The Prof is very patient,r,,,,r   ,R   ,On instructor,,,,,,,,,,,,,,,,,,,,On instructor,,,,,,
41,Rewatch,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
42,listen clearly,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
43,能避免疫情,d,,,,d   ,D   ,Learning environment,,,,,,Learning environment,,,,,,,,,,,,,,,,,,,,
44,Review the recording when we are not clear of anything.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
45,Professor makes the most of resources to realize interactions.,j,g,,,j g  ,J G  ,"Interaction & communication, Learning content/ resources",,,,,,,,,Interaction & communication,,Learning content/ resources,,,,,,,,,,,,,,,
46,annotation quite helpful to let most of the student get involved in,o,,,,o   ,O   ,Zoom functions/ online tools,,,,,,,,,,,,,,,Zoom functions/ online tools,,,,,,,,,,,
47,annotate功能增进互动,o,,,,o   ,O   ,Zoom functions/ online tools,,,,,,,,,,,,,,,Zoom functions/ online tools,,,,,,,,,,,
48,More free and active discussion -- We can use annotation to ask questions and discuss issues,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
49,可以通过注释功能匿名提问或回答问题,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
50,课堂互动更加方便,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
51,The chat box function is helpful. It enables questions whenever possible. And Professor can answer the questions during breaks or after class.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
52,We can review the records of the class.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
53,和老师的线上互动很新奇有趣,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
54,recording有助课后温习,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
55,more thaninteractive,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
56,由於理論課比較難懂，老師的錄屏可以反復回看，對我很有幫助。,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
57,more time to do course review,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
58,每节课都有录像，课后可以看回放,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
59,可以自由讨论,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
60,The course can be reviewed in a much better format because it is recorded.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
61,We can annotate freely on the screen and ask questions immediately.,g,o,,,g o  ,G O  ,"Interaction & communication, Zoom functions/ online tools",,,,,,,,,Interaction & communication,,,,,,Zoom functions/ online tools,,,,,,,,,,,
62,Easy interaction Different channels for communication,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
63,老师使用annotation等功能使得网上教学的互动性很强,g,o,,,g o  ,G O  ,"Interaction & communication, Zoom functions/ online tools",,,,,,,,,Interaction & communication,,,,,,Zoom functions/ online tools,,,,,,,,,,,
64,convenient,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
65,老師仍可以通過zoom的功能加強學生互動,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
66,鼓励使用annotate功能，方便大家参与；,o,,,,o   ,O   ,Zoom functions/ online tools,,,,,,,,,,,,,,,Zoom functions/ online tools,,,,,,,,,,,
67,老师很善用互动模块  互动性更强,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
68,很清楚,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
69,Active participation through chat box and annotation.,g,o,,,g o  ,G O  ,"Interaction & communication, Zoom functions/ online tools",,,,,,,,,Interaction & communication,,,,,,Zoom functions/ online tools,,,,,,,,,,,
70,Flexible schedule and environment.,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
71,可以很清楚看清屏幕,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
72,"We actually have more time for considerations, and we can review by repeating the recording.",k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
73,More convenient to use electronic devices. No need to waste time on the way to school. Easier to communicate with the instructor via chat box and audio.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
74,同学讨论可同时在chat box进行，节省时间；,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
75,Using share screen is quite convenient,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
76,Lack of concentration and communication,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
77,相较于课堂，网上授课时讨论资料更直观，交流方便，互动更好,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
78,屏幕共享的展示效果好,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
79,The chat box function in Zoom allows questions and feedback whenever possible.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
80,可以录课，在必要时候可以回播,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
81,老师在网上安排tutorial比较方便而且及时,f,,,,f   ,F   ,Organization of class,,,,,,,,Organization of class,,,,,,,,,,,,,,,,,,
82,能让我们实时听到老师说话，看到老师的PPT,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
83,还是线下教学互动更方便些,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
84,屏幕共享功能和文件在線編輯比課堂更清晰，討論更多,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
85,The presentation is very clear when use the share screen function via zoom.,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
86,"Can present in my office, very convenient",d,,,,d   ,D   ,Learning environment,,,,,,Learning environment,,,,,,,,,,,,,,,,,,,,
87,more easy to divide into groups for discussion & sharing documents,h,i,,,h i  ,H I  ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
88,Presentation is the main focus in this subject. We can easily share our screen whenever we present or comment on others’ presentation. We can also look at the input of students together. I think online learning would be better than learning in class for this particular course.,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
89,Be better prepared for the presentations,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
90,make the most of shared documents,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
91,"Materials can be shared efficiently. Since most of the content is presentation, sound and ppt can be seen clearly. Great discussion atmosphere through the online doc.",j1,n,h,,j1 n h ,J1 N H ,"Facilitation of group discussion and group works, Learning content/ resources, Clarity of delivery",,,,,,,,,,Facilitation of group discussion and group works,Learning content/ resources,,,Clarity of delivery,,,,,,,,,,,,
92,无优点,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
93,"Better interaction; better to get access to legal examples, and cases",g,j,,,g j  ,G J  ,"Interaction & communication, Learning content/ resources",,,,,,,,,Interaction & communication,,Learning content/ resources,,,,,,,,,,,,,,,
94,-can ask questions directly,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
95,Students are more encouraged to give real-time response on the platform.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
96,All good.,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
97,More free discussion or group discussion,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
98,展示清晰，互动很多,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
99,课件资源丰富 查资料方便,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
100,Clear structure with PPT,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
101,鼓励大家参与,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
102,The group discussion function is good.,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
103,convenient interaction,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
104,"More flexible for part-time student as sometimes I have to work overtime and when I was on my way home, I can still join the lesson through mobile app ZOOM. This makes I won't miss some parts of the lecture.",e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
105,We can easily give comments and response in the chatbox.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
106,-It's good that we can use the online platform to share our translations with our classmates and learn from their translations -It's good that we can discuss the translation directly through the chat function,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
107,Students are more engaged and willing to interact with teacher through chatbox,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
108,"By nature, this course requires many online digital resources and has a lot of teaching notes. Online teaching allow us to stay at home where we have more space and flexibility to access to teaching materials.",j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
109,"We can watch the videos clearly and put down our questions in the chatbox whenever we want to, and the teacher will not be interrupted. And those who are shy are also willing to speak up online rather than in class at CUHK. And we have better discussion online!",g,n,,,g n  ,G N  ,"Interaction & communication, Clarity of delivery",,,,,,,,,Interaction & communication,,,,,Clarity of delivery,,,,,,,,,,,,
110,可有多些機會作出即時提問,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
111,"The video can be seen clearly and the sound is great through Zoom, which I think is better than in classroom. Everyone can ask questions freely through the chat function.",g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
112,not sure,c,,,,c   ,C   ,IDK/ same,,,,IDK/ same,,,,,,,,,,,,,,,,,,,,,,
113,"As this course required to show many movie examples, classes usually overrun.  By online teaching, classmates and prof. no need to be rush to end the class.  Prof. and classmates could have more spare time to have interactions.  This would be quite difficult when we have the face to face class during weekday nighttime.",g,j,f,,g j f ,G J F ,"Organization of class, Interaction & communication, Learning content/ resources",,,,,,,,Organization of class,Interaction & communication,,Learning content/ resources,,,,,,,,,,,,,,,
114,可以保留影像資料,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
115,比起在課室，利用zoom屏幕觀看視頻更近距離更清晰看到字幕,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
116,We are able to raise questions anytime and the lecturer is able to address them in due course,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
117,"This is a night time course. By using online teaching, we could have to lesson at home, which lessen the concern of transportation. Teachers can and did lengthen the lessons so he more questions from students could be answered.",e,f,,,e f  ,E F  ,"Time management, Organization of class",,,,,,,Time management,Organization of class,,,,,,,,,,,,,,,,,,
118,No need to waste time on the way to campus. Easier for simultaneous interaction and group discussion.,e,h,,,e h  ,E H  ,"Time management, Facilitation of group discussion and group works",,,,,,,Time management,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
119,the course could be recorded and could give students a second time to reivew the part that they did not grasp during the class.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
120,Easy for annotation & communication,o,,,,o   ,O   ,Zoom functions/ online tools,,,,,,,,,,,,,,,Zoom functions/ online tools,,,,,,,,,,,
121,无,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
122,可以cover更多内容,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
123,contents are organized well,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
124,有recording，方便复习；,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
125,lack of interaction,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
126,The knowledges and process could be shown clearly through the share screen function.,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
127,No need to waste time on the way to campus More convenient to communicate via chat box,e,g,,,e g  ,E G  ,"Time management, Interaction & communication",,,,,,,Time management,,Interaction & communication,,,,,,,,,,,,,,,,,
128,The Chats can maximum the interaction between teacher and classmates.  Duncan is also very reponsive to the Chats.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
129,content is shown clearly on the screen and easy to take screenshots,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
130,可以很好的看清楚ppt,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
131,The chat function on Zoom allows everybody to express opinion and ask questions freely.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
132,More interactive,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
133,资料好收集,j1,,,,j1   ,J1   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
134,The students can make spontaneous edits on text examples,o,,,,o   ,O   ,Zoom functions/ online tools,,,,,,,,,,,,,,,Zoom functions/ online tools,,,,,,,,,,,
135,I can see the powerpoint clear.,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
136,The annotation and chat box are useful enough.,o,,,,o   ,O   ,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"Students are encouraged to participate in the discussion, and it is easier for us to jot notes and answer questions.",o,g,,,o g  ,O G  ,"Interaction & communication, Zoom functions/ online tools",,,,,,,,,Interaction & communication,,,,,,Zoom functions/ online tools,,,,,,,,,,,
138,able to listen to the class recording again and again,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
139,可以看recording，有助于课后复习,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
140,Prof provided the recordings for students' revision!,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
141,It's easy to track what the professor has taught us.,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
142,I can hear the lecturer more clearly.,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
143,we could see the details on ppt more clearly.,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
144,练习时间多了,p3,,,,p3   ,P3   ,Learning activities,,,,,,,,,,,,,,,,,,Learning activities,,,,,,,,
145,No need to waste time on the way to school. Much more discussion and interaction via chatting box. Easier to share documents and use electronic resources.,e,g,o,,e g o ,E G O ,"Time management, Interaction & communication, Zoom functions/ online tools",,,,,,,Time management,,Interaction & communication,,,,,,Zoom functions/ online tools,,,,,,,,,,,
146,可以有更多时间直接面对老师,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
147,timely engagement,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
148,可以有小组网上练习,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
149,便捷,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
150,I can better concentrate on what the professor is talking about.,d,,,,d   ,D   ,Learning environment,,,,,,Learning environment,,,,,,,,,,,,,,,,,,,,
151,全是缺点 老师上的很好 但是没有同传设备完全使有效上课变得很艰难,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
152,hard to tell: face-to-face teaching with labs is always better for Simultaneous Interpreting,b1,m,,,b1 m  ,B1 M  ,"Prefer F2F, Multitask",,,Prefer F2F,,,,,,,,,,Multitask,,,,,,,,,,,,,
153,时间方便,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
154,more free discussion in the class,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
155,设备调制时间减少,f,,,,f   ,F   ,Organization of class,,,,,,,,Organization of class,,,,,,,,,,,,,,,,,,
156,More relaxed environment,d,,,,d   ,D   ,Learning environment,,,,,,Learning environment,,,,,,,,,,,,,,,,,,,,
157,不需太长时间调试设备。,f,,,,f   ,F   ,Organization of class,,,,,,,,Organization of class,,,,,,,,,,,,,,,,,,
158,Online teaching is comparatively appropriate for this course since it is quite straightforward and factual.,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
159,可以自由地提問,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
160,NO,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
161,能夠透過chatroom即時發言,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
162,Students can search for the relevant material immediately when having lectures.,m,,,,m   ,M   ,Multitask,,,,,,,,,,,,,Multitask,,,,,,,,,,,,,
163,"方便學生上課+如老師錄影,學生能更容易重溫及掌握課堂",k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
164,網上示範不受影響,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
165,the course content is clear,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
166,You can do other things when you already know all the stuff that are teached,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
167,普遍問問題可以即時在堂上私人詢問老師。,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
168,Students are more encouraged to ask question,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
169,This subject is all about using computer. Sharing screen in zoom is easy enough for us to understand the thing we should understand.,v,,,,v   ,V   ,Others,,,,,,,,,,,,,,,,,,,,,,,,Others,,
170,易睇到老師給的資料,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
171,有利分享與本科相關資訊,j1,,,,j1   ,J1   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
172,Save traveling time.,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
173,Can make the class go on.,c1,,,,c1   ,C1   ,continue learning,,,,,continue learning,,,,,,,,,,,,,,,,,,,,,
174,更加自由的进行提问,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
175,Time saving,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
176,，save traveling time,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
177,study at anywhere,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
178,易睇到老師給的資料,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
179,省卻上大學的交通時間,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
