9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,,9105,109,1294,97,335,46,189,396,259,433,223,1376,669,497,288,264,418,153,218,576,1120,251,274,120,257
34,weak supervision,n,,,,n   ,monitor/ check understanding,,,,N   ,Clarity of delivery,monitor/ check understanding,,,,,,,,,,,,,,,,monitor/ check understanding,,,,,,,,
35,NONE,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
36,more interactions between teachers and classmates.,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
37,无,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
38,more engagement,g,,,,g   ,participation,,,,G   ,Interaction,participation,,,,,,,,,,,participation,,,,,,,,,,,,,
39,線上課程相比線下課程比較不容易集中精神，老師可以適當放慢語速。,d,,,,d   ,concentrate,,,,D   ,Learn environment,concentrate,,,,,,concentrate,,,,,,,,,,,,,,,,,,
40,Presentation可以穿插在每节课中,h,,,,h   ,group presentation,,,,H   ,Discussion/ Group work,group presentation,,,,,,,,,,,,group presentation,,,,,,,,,,,,
41,几乎无,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
42,More separate chat rooms discussions,h,,,,h   ,discussion,,,,H   ,Discussion/ Group work,discussion,,,,,,,,,,,,discussion,,,,,,,,,,,,
43,Divide of labour -- hard to jump between differnet materials with zoom (share screen) on,o,,,,o   ,multitask - switch screen,,,,O   ,Tools for learning,multitask - switch screen,,,,,,,,,,,,,,,,,multitask - switch screen,,,,,,,
44,网上教学不容易把握时间会导致内容讲不完等情况，有改善的空间,f,,,,f   ,time control,,,,F   ,Class planning,time control,,,,,,,time control,,,,,,,,,,,,,,,,,
45,lecture time can be rearranged,f,,,,f   ,schedule,,,,F   ,Class planning,schedule,,,,,,,schedule,,,,,,,,,,,,,,,,,
46,許多學校的資源沒有機會使用到,w,,,,w   ,library/ e-resources,,,,W   ,Learning support,library/ e-resources,,,,,,,,,,,,,,,library/ e-resources,,,,,,,,,
47,无,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
48,无,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
49,暂无,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
50,Time management of class,f,,,,f   ,time control,,,,F   ,Class planning,time control,,,,,,,time control,,,,,,,,,,,,,,,,,
51,It would be nicer if the lecturer could turn on the camera.,f,,,,f   ,camera on/off,,,,F   ,Class planning,camera on/off,,,,,,,camera on/off,,,,,,,,,,,,,,,,,
52,老师可以再讲明白点,n,,,,n   ,clearer/ detailed explanation,,,,N   ,Clarity of delivery,clearer/ detailed explanation,,,,,,,,,,,,,,,,clearer/ detailed explanation,,,,,,,,
53,The engagement is not strong enough.,g,,,,g   ,participation,,,,G   ,Interaction,participation,,,,,,,,,,,participation,,,,,,,,,,,,,
54,"E- resources are not enough, especially lack of digital version book/ e -book from the library",w,,,,w   ,library/ e-resources,,,,W   ,Learning support,library/ e-resources,,,,,,,,,,,,,,,library/ e-resources,,,,,,,,,
55,Assign some homework after the class which is related to the content of the class,M,,,,M   ,assignment,,,,M   ,Assignment,assignment,,,,,,,,,,assignment,,,,,,,,,,,,,,
56,出于各种原因不打开摄像头，对于参与度有一定的影响,g,,,,g   ,participation,,,,G   ,Interaction,participation,,,,,,,,,,,participation,,,,,,,,,,,,,
57,可以通过annotation等工具再增加互动,o,,,,o   ,annotation,,,,O   ,Tools for learning,annotation,,,,,,,,,,,,,,,,,annotation,,,,,,,
58,因为设备问题而导致的音质问题和画面声音延迟现象,s,,,,s   ,network connection,lag,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
59,无,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
60,无,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
61,無,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
62,Fewer interactions between teachers and students,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
63,not much,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
64,Nope,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
65,Interactions with classmates and professors are not very convenient.,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
66,all good (but face-to-face teaching is always better),Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
67,difficult to concentrate. Less enthusiastic about Q&A.,d,g,,,d g  ,concentrate,Q&A,,,D G  ,"Learn environment, Interaction","concentrate, Q&A",,,,,,concentrate,,,,,Q&A,,,,,,,,,,,,,
68,more time for reading and discussion,h,j,,,h j  ,discussion,reading,,,H J  ,"Discussion/ Group work, Course material","discussion, reading",,,,,,,,,,,,discussion,reading,,,,,,,,,,,
69,网上教学的时候，希望老师可以讲慢一点～ 希望可以有录影回看,n,k,,,n k  ,pace slower,lecture recordings,,,N K  ,"Recording, Clarity of delivery","lecture recordings, pace slower",,,,,,,,,,,,,,lecture recordings,,pace slower,,,,,,,,
70,less concentration,d,,,,d   ,concentrate,,,,D   ,Learn environment,concentrate,,,,,,concentrate,,,,,,,,,,,,,,,,,,
71,The current Zoom system can provide more functions for students' interaction.,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
72,All good.,Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
73,None,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
74,可以讲一些ppt以外的知识,r,,,,r   ,lecturer,,,,R   ,On intructor,lecturer,,,,,,,,,,,,,,,,,,lecturer,,,,,,
75,More group work,h,,,,h   ,group work,,,,H   ,Discussion/ Group work,group work,,,,,,,,,,,,group work,,,,,,,,,,,,
76,Teacher could speak a little bit slower,n,,,,n   ,pace slower,,,,N   ,Clarity of delivery,pace slower,,,,,,,,,,,,,,,,pace slower,,,,,,,,
77,增强师生互动,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
78,increase the interactive activities,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
79,Maybe can improve the network as sometimes the audio and video lags a bit.,x,,,,x   ,Videoplay issue (lag),,,,X   ,Videoplay issue,Videoplay issue (lag),,,,,,,,,,,,,,,,,,,,,Videoplay issue (lag),,,
80,The connection problem,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
81,not enough intereaction,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
82,Quality of the videos played in class could be better.,j,,,,j   ,videos - quality,,,,J   ,Course material,videos - quality,,,,,,,,,,,,,videos - quality,,,,,,,,,,,
83,"The smoothness, others are all fine!",v,,,,v   ,smoothness,,,,V   ,Others,smoothness,,,,,,,,,,,,,,,,,,,,,,,smoothness,
84,more interaction,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
85,don't know,c,,,,c   ,IDK / no comment/ same,,,,C   ,IDK / no comment/ same,IDK / no comment/ same,,,IDK / no comment/ same,,,,,,,,,,,,,,,,,,,,,
86,"As many movie clips are shown during the class, network issue is the main difficulty as sometime the classmates' network signal (both wifi and data) are not smooth in the home/workplace.  It would greatly influence their learning.   Beside, I have to go to work during these period, it is hard for me to go back home from workplace punctually on time and attend the lesson.  It might slightly help to the live lesson is records and then I could study it during weekend.",s,k,,,s k  ,network connection,lecture recordings,,,S K  ,"Recording, IT-related","lecture recordings, network connection",,,,,,,,,,,,,,lecture recordings,,,,,,network connection,,,,
87,網絡有時會出現問題,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
88,建議老師錄製課堂內容，課後進行回放,k,,,,k   ,lecture recordings,,,,K   ,Recording,lecture recordings,,,,,,,,,,,,,,lecture recordings,,,,,,,,,,
89,"There are always technical issues, such as lagging and sudden disconnection, which has little to do with the lecturer’s computer but the ZOOM system.",x,,,,x   ,Videoplay issue (lag),,,,X   ,Videoplay issue,Videoplay issue (lag),,,,,,,,,,,,,,,,,,,,,Videoplay issue (lag),,,
90,"This course involves a lot of audio-visual materials. However, Zoom has a huge problem in its playback function in end-users' sides. The sound and the video are normally not synced. It did not greatly affect the teaching quality but will be great if improvement can be made.",x,,,,x   ,Videoplay issue,,,,X   ,Videoplay issue,Videoplay issue,,,,,,,,,,,,,,,,,,,,,Videoplay issue,,,
91,"There are lags when movies are played, and sometimes the professor was disconnected without him knowing. The professor was unable to read comments in chats while sharing the screen",x,n,,,x n  ,Videoplay issue (lag),sharescreen,,,X N  ,"Clarity of delivery, Videoplay issue","sharescreen, Videoplay issue (lag)",,,,,,,,,,,,,,,,sharescreen,,,,,Videoplay issue (lag),,,
92,"except the internet problem, teacher's supervision somehow is weak.",s,r,,,s r  ,internet/ wifi,lecturer,,,S R  ,"On intructor, IT-related","lecturer, internet/ wifi",,,,,,,,,,,,,,,,,,lecturer,,internet/ wifi,,,,
93,Sometimes hard to balance PPT display and note-taking,o,,,,o   ,multitask - switch screen,,,,O   ,Tools for learning,multitask - switch screen,,,,,,,,,,,,,,,,,multitask - switch screen,,,,,,,
94,授课节奏可以再快一点,n,,,,n   ,pace faster,,,,N   ,Clarity of delivery,pace faster,,,,,,,,,,,,,,,,pace faster,,,,,,,,
95,无法很好的与老师互动; oral presentation 的效果不如线下,g,M,,,g M  ,interaction,oral presentation,,,G M  ,"Assignment, Interaction","oral presentation, interaction",,,,,,,,,,oral presentation,interaction,,,,,,,,,,,,,
96,weak supervision,n,,,,n   ,monitor/ check understanding,,,,N   ,Clarity of delivery,monitor/ check understanding,,,,,,,,,,,,,,,,monitor/ check understanding,,,,,,,,
97,annotate功能可多用,o,,,,o   ,annotation,,,,O   ,Tools for learning,annotation,,,,,,,,,,,,,,,,,annotation,,,,,,,
98,none,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
99,More interaction between teacher and students is needed.,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
100,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
101,暂无,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
102,I think Prof Poupard has been doing very well.,r,,,,r   ,lecturer - well done,,,,R   ,On intructor,lecturer - well done,,,,,,,,,,,,,,,,,,lecturer - well done,,,,,,
103,无,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
104,Switching between screens appear to be somewhat clumsy for professor,o,,,,o   ,multitask - switch screen,,,,O   ,Tools for learning,multitask - switch screen,,,,,,,,,,,,,,,,,multitask - switch screen,,,,,,,
105,It should be more interaction among teachers and students.,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
106,It's good enough.,Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
107,"There are connection issues from time to time, seems to be a problem with the ZOOM system",s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
108,Need a break in between.,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
109,增强师生互动，及学生有效反馈,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
110,Can't think of some.,c,,,,c   ,IDK / no comment/ same,,,,C   ,IDK / no comment/ same,IDK / no comment/ same,,,IDK / no comment/ same,,,,,,,,,,,,,,,,,,,,,
111,内地不能access YouTube,s,,,,s   ,firewall of mainland,,,,S   ,IT-related,firewall of mainland,,,,,,,,,,,,,,,,,,,,firewall of mainland,,,,
112,"It's hard to say, it's CI, online practice is not suitable.",L,,,,L   ,lack of practice,,,,L   ,Learning activities,lack of practice,,,,,,,,,lack of practice,,,,,,,,,,,,,,,
113,"Interpreting is a course which has specific requirements on techical supports. Unfortunately some of the functions, such as recording, replaying and collect audio files cannot be done on Zoom.",e,,,,e   ,unsuitable for online,,,,E   ,Prefer f2f,unsuitable for online,,,,unsuitable for online,,,,,,,,,,,,,,,,,,,,
114,小组讨论的可行性，网络的流畅度,s,h,,,s h  ,network connection,group discussion,,,S H  ,"Discussion/ Group work, IT-related","group discussion, network connection",,,,,,,,,,,,group discussion,,,,,,,,network connection,,,,
115,so far so good,Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
116,录音方式有点不方便,k,,,,k   ,lecture recordings,,,,K   ,Recording,lecture recordings,,,,,,,,,,,,,,lecture recordings,,,,,,,,,,
117,希望拥有更专业的remote interpreting software,o,,,,o   ,use of software/ license,,,,O   ,Tools for learning,use of software/ license,,,,,,,,,,,,,,,,,use of software/ license,,,,,,,
118,Provide more tips on self-practice after class.,u,,,,u   ,learning result and effectiveness,,,,U   ,Course,learning result and effectiveness,,,,,,,,learning result and effectiveness,,,,,,,,,,,,,,,,
119,这个课只适合线下教学,e,,,,e   ,unsuitable for online,,,,E   ,Prefer f2f,unsuitable for online,,,,unsuitable for online,,,,,,,,,,,,,,,,,,,,
120,all good,Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
121,更多专业的翻译软件或在线同声传译教学平台,o,,,,o   ,use of software/ license,,,,O   ,Tools for learning,use of software/ license,,,,,,,,,,,,,,,,,use of software/ license,,,,,,,
122,Hope to use some more effective apps that can do SI online,o,,,,o   ,online apps and tools,,,,O   ,Tools for learning,online apps and tools,,,,,,,,,,,,,,,,,online apps and tools,,,,,,,
123,线下同传更有紧张感，在箱子里更正式,v,,,,v   ,others,,,,V   ,Others,others,,,,,,,,,,,,,,,,,,,,,,,others,
124,应开放语言实验室。线上授同传的课很不便,w,,,,w   ,lab,,,,W   ,Learning support,lab,,,,,,,,,,,,,,,lab,,,,,,,,,
125,NIL,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
126,尽量还是不要在线教学,e,,,,e   ,No more online,,,,E   ,Prefer f2f,No more online,,,,No more online,,,,,,,,,,,,,,,,,,,,
127,do not use ZOOM,y,,,,y   ,no zoom,,,,Y   ,Choice of platform,no zoom,,,,,,,,,,,,,,,,,,,,,,no zoom,,
128,NO,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
129,"System (Zoom) maybe not secure,  other online corporation/meeting software like Microsoft Teams can be used.",y,,,,y   ,another software,,,,Y   ,Choice of platform,another software,,,,,,,,,,,,,,,,,,,,,,another software,,
130,師生互動較少,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
131,Don't use zoom pls,y,,,,y   ,no zoom,,,,Y   ,Choice of platform,no zoom,,,,,,,,,,,,,,,,,,,,,,no zoom,,
132,Allow exemption,u,,,,u   ,exemption,,,,U   ,Course,exemption,,,,,,,,exemption,,,,,,,,,,,,,,,,
133,網上教學如有播放的影片，流暢度則減低。,x,,,,x   ,Videoplay issue,,,,X   ,Videoplay issue,Videoplay issue,,,,,,,,,,,,,,,,,,,,,Videoplay issue,,,
134,Chat box can be enabled so that students can communicate with others.,g,,,,g   ,chatbox,,,,G   ,Interaction,chatbox,,,,,,,,,,,chatbox,,,,,,,,,,,,,
135,"In current situation, cooperating with group mates for the video project is hard. The quality of the video may be lower than normal situation.",M,,,,M   ,group projects,,,,M   ,Assignment,group projects,,,,,,,,,,group projects,,,,,,,,,,,,,,
136,可能有些時間花在技術上,s,,,,s   ,technical problems,,,,S   ,IT-related,technical problems,,,,,,,,,,,,,,,,,,,,technical problems,,,,
137,實體課堂的學習和討論氣氛，是網上教學怎樣安排和配合都不能比擬的。,h,,,,h   ,discussion,,,,H   ,Discussion/ Group work,discussion,,,,,,,,,,,,discussion,,,,,,,,,,,,
138,I like mortal study rather than online study.  Especially the professor conducts a tutorial session on-site and promote every student to engage in the session.  I think this kind of on-site session is very helpful.  This was not proceeded effectively on-line.,u,,,,u   ,Learning result and effectiveness,,,,U   ,Course,Learning result and effectiveness,,,,,,,,Learning result and effectiveness,,,,,,,,,,,,,,,,
139,可能有些時間花在技術上,s,,,,s   ,technical problems,,,,S   ,IT-related,technical problems,,,,,,,,,,,,,,,,,,,,technical problems,,,,
140,To facilitate more interaction.  The teacher of this course has been done utmost to do it by constantly asking student question.  Interaction is especially important when all participants mute them voice and switch all the screen.,n,g,,,n g  ,control of mute/ unmute,interaction,,,N G  ,"Interaction, Clarity of delivery","interaction, control of mute/ unmute",,,,,,,,,,,interaction,,,,,control of mute/ unmute,,,,,,,,
141,可能有些時間花在技術上,s,,,,s   ,technical problems,,,,S   ,IT-related,technical problems,,,,,,,,,,,,,,,,,,,,technical problems,,,,
142,已十分好。,Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
143,Online reference available from library should be further improved.,w,,,,w   ,library/ e-resources,,,,W   ,Learning support,library/ e-resources,,,,,,,,,,,,,,,library/ e-resources,,,,,,,,,
144,More ecopy of books are required since this course covers a broad range of biblical books and topics.,w,,,,w   ,library/ e-resources,,,,W   ,Learning support,library/ e-resources,,,,,,,,,,,,,,,library/ e-resources,,,,,,,,,
145,可能有些時間花在技術上,s,,,,s   ,technical problems,,,,S   ,IT-related,technical problems,,,,,,,,,,,,,,,,,,,,technical problems,,,,
146,Nothing can be better.,Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
147,Nil,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
148,Online learning is harder to ask question,g,,,,g   ,Q&A,,,,G   ,Interaction,Q&A,,,,,,,,,,,Q&A,,,,,,,,,,,,,
149,nil.,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
150,沒有。,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
151,"Since the bandwidth problem, so many students would stop the video, there is little eye contact among student and teacher.",x,,,,x   ,Videoplay issue,,,,X   ,Videoplay issue,Videoplay issue,,,,,,,,,,,,,,,,,,,,,Videoplay issue,,,
152,None,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
153,在大學圖書館及公共圖書館未能開放時，應將某些書籍及大學圖書館未有的電子材料放上blackboard，而老師亦未有善用blackboard作通訊或存放教學資源。,w,j,,,w j  ,library/ e-resources,material accessibility ,,,W J  ,"Course material, Learning support","material accessibility , library/ e-resources",,,,,,,,,,,,,material accessibility ,,library/ e-resources,,,,,,,,,
154,It's hard to share some media matter by using the ZOOM.,n,,,,n   ,file sharing,,,,N   ,Clarity of delivery,file sharing,,,,,,,,,,,,,,,,file sharing,,,,,,,,
155,"First of all, teacher and student must be familiar in using online facilities.  Teacher and student must establish some rules of the classroom because online learning not same as on-site learning, participants' expression cannot instantly see.",r,,,,r   ,Lecturer - familarize with platform,,,,R   ,On intructor,Lecturer - familarize with platform,,,,,,,,,,,,,,,,,,Lecturer - familarize with platform,,,,,,
156,可能有些時間花在技術上,s,,,,s   ,technical problems,,,,S   ,IT-related,technical problems,,,,,,,,,,,,,,,,,,,,technical problems,,,,
157,沒有。,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
158,不應網上教學,e,,,,e   ,no more online,,,,E   ,Prefer f2f,no more online,,,,no more online,,,,,,,,,,,,,,,,,,,,
159,"I don't think zoom is a reliable online platform. I strongly oppose the continuing use of zoom, in concern of the privacy issue raised by various organizations and countries. I feel very unsafe and unprotected and I would like a follow up on the choice of online platform if possible. Thank you. But this is not the fault of the teacher, for online teaching of this subject specifically, I think there might be some voting, using the voting function, to engage the student, as I observe that not all students are comfortable speaking ,maybe due to the zoom privacy issue.  I think the teacher has been doing very good in engaging the students in class and give relevant and interesting info for the students, the root cause of the reluctance of the students to engage maybe the intrinsic obstacle of online teaching and also due to the zoom privacy problem.",s,g,,,s g  ,privacy/ security risk,participation,,,S G  ,"Interaction, IT-related","participation, privacy/ security risk",,,,,,,,,,,participation,,,,,,,,,privacy/ security risk,,,,
160,網上神學資源應增加！,w,,,,w   ,library/ e-resources,,,,W   ,Learning support,library/ e-resources,,,,,,,,,,,,,,,library/ e-resources,,,,,,,,,
161,因網上教學，仍有兩個大壓力的考試，感到困擾...老師沒有太大調節course outline。,p,,,,p   ,exam,,,,P   ,Assessment,exam,,,,,,,,,,,,,,,,,,,exam,,,,,
162,入zoom程序太復雜,s,,,,s   ,not user friendly,,,,S   ,IT-related,not user friendly,,,,,,,,,,,,,,,,,,,,not user friendly,,,,
163,網上教學降低學生對知識的吸收，降低課堂上的互動。問題在於網上教學方法，不在於老師。,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
164,"Since this course is a little mathematical, online teaching is not convenient for asking questions.",g,,,,g   ,Q&A,,,,G   ,Interaction,Q&A,,,,,,,,,,,Q&A,,,,,,,,,,,,,
165,By arranging active participation among students using breakout room.,h,,,,h   ,breakout room,,,,H   ,Discussion/ Group work,breakout room,,,,,,,,,,,,breakout room,,,,,,,,,,,,
166,Nothing,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
167,The connection is not very good.,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
